INCIDENT_DATE,TIME_OF_DAY,AIRPORT,STATE,OPERATOR,AIRCRAFT,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,PHASE_OF_FLIGHT,HEIGHT,SPEED,SKY,DAMAGE_LEVEL,PARTS_STRUCK,PARTS_DAMAGED,ENGINE_INGESTION,SPECIES,SIZE,NUM_STRUCK
1996-07-01,,LA GUARDIA ARPT,NY,UNITED AIRLINES,A-320,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,5000.0,,,Minor,2,1,No,Unknown bird - medium,Medium,1
1990-08-07,Night,LAMBERT-ST LOUIS INTL,MO,PRIVATELY OWNED,C-152,airplane,"2,250 kg or less",reciprocating engine,1.0,Climb,200.0,70.0,No Cloud,Minor,1,1,No,Unknown bird - large,Large,1
1995-04-28,,SAN FRANCISCO INTL ARPT,CA,UNITED AIRLINES,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,140.0,,Substantial,3,3,No,Unknown bird - medium,Medium,11-100
1993-09-19,Day,MANCHESTER AIRPORT,NH,PRIVATELY OWNED,BE-33,airplane,"2,250 kg or less",reciprocating engine,1.0,Approach,1800.0,150.0,No Cloud,Substantial,1,1,No,Unknown bird - large,Large,1
1992-05-24,Day,UNKNOWN,,PRIVATELY OWNED,C-180,airplane,"2,250 kg or less",reciprocating engine,1.0,En Route,1000.0,120.0,No Cloud,Minor,1,1,No,Bald eagle,Large,1
1991-08-30,Night,DETROIT METRO WAYNE COUNTY ARPT,MI,SOUTHWEST AIRLINES,B-737-500,airplane,"27,001-272,000 kg",turbofan,2.0,Approach,1000.0,130.0,Some Cloud,Minor,1,1,No,Gulls,Medium,1
1992-05-22,Day,LINCOLN ARPT,NE,UNITED AIRLINES,B-737-300,airplane,"27,001-272,000 kg",turbofan,2.0,Take-off Run,0.0,130.0,Overcast,Substantial,1,1,No,Rails,Medium,11-100
1993-08-28,Day,GRANT COUNTY ARPT,WA,JAPAN AIRLINES,B-747-1/200,airplane,"above 272,000 kg",turbofan,4.0,Climb,500.0,160.0,Some Cloud,Undetermined,1,1,No,Unknown bird - medium,Medium,1
1991-11-08,Day,PITTSBURGH INTL ARPT,PA,1US AIRWAYS,B-737-200,airplane,"27,001-272,000 kg",turbofan,2.0,Climb,3700.0,220.0,Overcast,Undetermined,1,1,No,Geese,Large,2-10
1991-05-10,Night,ONTARIO INTL ARPT,CA,UPS AIRLINES,B-757-200,airplane,"27,001-272,000 kg",turbofan,2.0,Descent,9000.0,210.0,No Cloud,Undetermined,4,4,No,Canada goose,Large,11-100
